frame,aoa,times,estimated_aoa,range,energy
1,-40,1,-38.020314276688,4.68892139038642,257.234236094994
2,-40,1,-38.0037651328467,4.68701346450972,328.643593239384
3,-40,1,-37.9410818605229,4.66984483736685,383.150967268421
4,-40,1,-37.8420089765414,4.66686054689702,421.73263392072
5,-40,1,-37.8011597117883,4.66413820272148,421.506882811418
6,-40,1,-37.7365169308337,4.65818576393607,408.212754100662
7,-40,1,-37.753230777163,4.64673953273511,367.922395938075
8,-40,1,-37.7297611340179,4.62706632404138,319.333967178756
9,-40,1,-37.6906932479302,4.61277726746398,311.81013331868
10,-40,1,-37.405213228472,4.60197461196745,254.666899910567
11,-40,1,-37.283580541329,4.60362060102795,237.327561183178
12,-40,1,-37.4468573564492,4.59885453728933,244.932543572305
13,-40,1,-37.4668207535552,4.57911181721895,205.081499560623
14,-40,1,-38.2245128503802,4.59099804785786,174.836923931024
15,-40,1,-37.8188375035351,4.60606455728211,256.225848002561
16,-40,1,-37.9400150491489,4.54468782020406,278.204607805264
17,-40,1,-38.770775365423,4.4705623144184,320.747662783669
18,-40,1,-39.6556703400151,4.40548000661004,339.639665892592
19,-40,1,-38.859669678124,4.42496150992229,375.400618618966
20,-40,1,-38.5213267362402,4.4415460700598,402.327287276857
21,-40,1,-39.0269712555884,4.41582906691523,433.07349940593
22,-40,1,-39.068520266979,4.40171695525096,426.218081849226
23,-40,1,-39.3472269601702,4.39705623411279,350.719343841946
24,-40,1,-37.8578854041206,4.41653288057874,305.96581876319
25,-40,1,-38.0869585908168,4.41795880036728,236.670781442619
26,-40,1,-39.4384177162953,4.34380091647775,235.793907182058
27,-40,1,-38.505137935198,4.2940584658355,222.049210835794
28,-40,1,-37.817289928592,4.23013974746585,217.269656381053
29,-40,1,-38.0741434530723,4.18347012025276,259.333646993596
30,-40,1,-37.9079128160819,4.18688146558826,298.324918722682
31,-40,1,-37.8680475019436,4.1873202456248,278.959242929559
32,-40,1,-37.8851349373054,4.1944855637089,209.849039740164
33,-40,1,-37.7234797396605,4.00935965786645,224.387487187144
34,-40,1,-37.6694529464486,4.01483985816864,304.721829221514
35,-40,1,-37.6089651566356,4.00876749484038,333.012732040234
36,-40,1,-37.5134892317782,3.99983795201212,279.407703806771
37,-40,1,-37.4146557369725,3.93111142702231,334.276456504626
38,-40,1,-37.5487861158093,3.92835617208971,433.482976859035
39,-40,1,-37.6282624160807,3.92533974016322,489.261888348498
40,-40,1,-37.7356083120311,3.91263314848144,454.149408209546
41,-40,1,-37.5123142856306,3.92311382387276,480.270260477043
42,-40,1,-37.5211115717284,3.91314321722498,499.410518415058
43,-40,1,-37.5468526091733,3.90844283784513,484.350410666944
44,-40,1,-38.0740206594679,3.87200321616857,446.978018130607
45,-40,1,-37.8852589456597,3.87980312163926,469.224877295045
46,-40,1,-37.461407593322,3.92570090986728,377.641666908483
47,-40,1,-39.9699365786416,3.6758662788263,333.570959919333
48,-40,1,-39.9907256512027,3.65813748864012,431.643288820692
49,-40,1,-40.1537668177776,3.62179245544267,506.301467219106
50,-40,1,-40.3610036803836,3.58846314090434,559.242298017526
51,-40,1,-40.3193552416956,3.57543636979706,589.493397055855
52,-40,1,-40.1151951838628,3.57546402545417,535.852066220861
53,-40,1,-39.8073897122169,3.56425301181032,507.770715275549
54,-40,1,-39.8008716464477,3.53839710041665,558.215055637694
55,-40,1,-39.7876450949949,3.51582658263488,503.119252960603
56,-40,1,-42.0024825116715,3.50128501011613,604.958154209784
57,-40,1,-42.1499459676092,3.4894038466575,675.895184951368
58,-40,1,-42.1725419327133,3.47945378240383,677.908891498221
59,-40,1,-42.1081239298736,3.48030372856455,678.77799023604
60,-40,1,-41.9340497486265,3.47850827438732,664.441650771854
61,-40,1,-42.0385468071694,3.47784656147711,544.481430782713
62,-40,1,-39.9226249114956,3.42448898782843,481.245609110316
63,-40,1,-39.6473205513898,3.41700348619124,606.976682994851
64,-40,1,-38.8392482986141,3.40609224527778,616.884072059084
65,-40,1,-37.7084472410547,3.39280043604934,567.028648307882
66,-40,1,-38.2466323745696,3.34543681788794,645.503286447176
67,-40,1,-37.8872570152934,3.33586558125439,705.667618755569
68,-40,1,-37.4220011382608,3.31602559870912,625.611950400569
69,-40,1,-37.0695372257169,3.30424469384949,729.168149941056
