frame,aoa,times,estimated_aoa,range,energy
1,0.0,1,0.620335007766089,4.686205534402434,513.665636071486
2,0.0,1,0.604589794446666,4.670683797316312,557.6720548824863
3,0.0,1,0.16542668517511339,4.6576809950003195,531.6486999538126
4,0.0,1,0.963102484784665,4.638208937129038,552.4329021667364
5,0.0,1,0.9771243618392622,4.630248656017231,627.9046845749702
6,0.0,1,1.1196347601629308,4.614084392146614,604.9317537063135
7,0.0,1,1.133486860324781,4.607252117901376,606.5300065549109
8,0.0,1,1.0638220797525124,4.6008070827811975,600.1238070504512
9,0.0,1,0.98450958621842,4.585867394262927,573.0057890102878
10,0.0,1,1.0040684273107208,4.563595136862237,479.74521026995995
11,0.0,1,1.109596424769864,4.542392676048255,409.01030340393675
12,0.0,1,1.1470554765327892,4.510396379233633,377.2242557605542
13,0.0,1,1.3246594361048298,4.492016395440884,299.3295621745024
14,0.0,1,-1.3200950513651617,4.413778051954861,269.26432515333585
15,0.0,1,-1.1034769224694252,4.432137340481395,328.48023033725286
16,0.0,1,-0.9510934570035752,4.439593533623182,361.0323001984947
17,0.0,1,-0.8306463001984253,4.400715572080396,319.0614563866877
18,0.0,1,-2.417914537121801,4.246453761779737,327.4955289857778
19,0.0,1,-2.3073797018593383,4.241273707093731,399.91587792834736
20,0.0,1,-1.8258926232159398,4.233773010902221,431.2392068569685
21,0.0,1,-2.4572082766318264,4.329454037893204,359.27843605471315
22,0.0,1,-0.5020981762388481,4.133092152203401,363.27701502773374
23,0.0,1,-1.0159174873395125,4.1116953105397,437.11720391262554
24,0.0,1,-1.0209063435931636,4.080510426681187,485.84897878543995
25,0.0,1,-0.8827645794134092,4.061400052231753,566.2398743539162
26,0.0,1,-0.6734338607008968,4.0620416558563335,590.7230764774583
27,0.0,1,-0.09041083892628893,4.056530190722792,454.4796899038767
28,0.0,1,0.8960648159818648,4.008333355629715,499.77591052495615
29,0.0,1,0.9567992942151778,3.9977409487854967,602.2019815530989
30,0.0,1,0.9099270563768079,3.9851668886110505,709.8045477262152
31,0.0,1,0.9950632424699227,3.9733678810457422,777.6726987521045
32,0.0,1,0.9339492885370818,3.9605620715144614,842.256998188852
33,0.0,1,0.7962241399987653,3.9507146034792675,897.9046088777889
34,0.0,1,0.725380081560658,3.9455285205901416,854.6100654169114
35,0.0,1,0.7673982298443259,3.940781517016864,691.466753165677
36,0.0,1,0.44848464561710444,3.9327620249413053,615.8413953418784
37,0.0,1,-0.31259849789826016,3.925811834333311,625.5664175205673
38,0.0,1,-0.6048097099250539,3.890324551345089,573.3694256830639
39,0.0,1,-0.8962472803980789,3.7837627288351037,565.9496803313272
40,0.0,1,-2.43657006638235,3.6355229387340713,516.0554947164699
41,0.0,1,-2.542951522372703,3.5945335351993846,651.160212075835
42,0.0,1,-2.4708659163639415,3.6039896545338403,727.2894027192215
43,0.0,1,-2.324412223662592,3.6024729781006144,714.9731239526045
44,0.0,1,-2.5450109540551895,3.6017809907525766,711.6185784098603
45,0.0,1,-2.6187977086815297,3.5864384206822244,600.1994013623454
46,0.0,1,-2.4271778009769607,3.5198482308474976,528.5773523817472
47,0.0,1,-2.9043589062052426,3.4840198310213712,578.8810365159402
48,0.0,1,-4.0301225504463245,3.476054030139064,533.4162584173363
49,0.0,1,-3.0097654742392206,3.447642794949577,453.316405384258
50,0.0,1,-0.7306381135997231,3.3568466601423443,497.0326466496849
51,0.0,1,-0.856748121613826,3.3593027712318975,547.3392372062166
52,0.0,1,1.028109766794099,3.318486026624143,605.3184674356589
53,0.0,1,0.7996486712402603,3.3071710084530244,807.0639554857472
54,0.0,1,0.6132216172157395,3.2851173849868585,912.1335110416655
55,0.0,1,0.872939039929388,3.244108737244739,897.9649964244567
56,0.0,1,0.8092856065963278,3.2503163428096804,1134.1191159276793
57,0.0,1,0.715517651688812,3.244745060711644,1269.7611170083399
58,0.0,1,0.6656384734098243,3.2329751117634586,1344.5060653538699
59,0.0,1,0.5557033128582847,3.214813048800468,1369.5509371093697
60,0.0,1,0.2431189889500415,3.2019218491663874,1411.9762787134312
61,0.0,1,0.6047070051420994,3.1878584955224643,1285.7621294349335
62,0.0,1,0.7488074894633487,3.166841161803298,1062.3516695367434
63,0.0,1,-0.8955285528094787,3.121763211004493,1075.2832685386625
64,0.0,1,-0.7689796278914635,3.116400648803135,1193.952091362051
65,0.0,1,-0.7822487242141626,3.106110597363078,1209.7551453252302
66,0.0,1,-0.8009620779796375,3.087965034734746,1170.5443060284322
67,0.0,1,-0.8031738797815717,3.063311784692443,1028.1549076526155
68,0.0,1,-0.8454958212126112,3.054040233133955,780.4201642569587
69,0.0,1,-0.7151931195897084,3.061703724954249,610.3507837290733
70,0.0,1,-0.8555887358434662,2.9829502587352996,479.47806786334667
71,0.0,1,-0.29780192369988995,2.906118592903948,551.3419307428863
72,0.0,1,-4.350237874868007,2.882732949332689,667.7341477400581
73,0.0,1,-2.758797148046914,2.8522972344161315,929.6251110762478
74,0.0,1,-2.5459980146883727,2.835039465428419,1140.3143684201714
75,0.0,1,-2.5433962354476485,2.828088686635889,1285.7079515405217
76,0.0,1,-2.4924361869647313,2.8284462911234027,1340.98466918964
77,0.0,1,-1.5874586312670942,2.8255518296986613,1289.9189802922315
78,0.0,1,-0.8513038892364848,2.772914068398351,1455.5281204021414
79,0.0,1,-0.9080498945283089,2.7711412371731354,1681.3650125012111
80,0.0,1,-0.7586163570493297,2.767947604463226,1792.628525564834
81,0.0,1,-0.6512060141433786,2.7614166181758644,1562.3820280505693
82,0.0,1,-0.8116485768623293,2.7713222932896615,1092.8333895381766
83,0.0,1,-0.7972983500092952,2.721393117652798,1246.1573304187996
84,0.0,1,0.4253388045794461,2.673721051654719,1463.831286233303
85,0.0,1,0.8665521850885656,2.646350156846637,1557.3182571524778
86,0.0,1,0.9408261838534837,2.6287695434783527,1556.696964696352
87,0.0,1,1.4042251803745736,2.604306816936761,1432.909387540905
88,0.0,1,2.5055478244172855,2.5538731497610123,1375.5678497082731
89,0.0,1,2.05529083395109,2.518647638936642,1582.9297293211623
90,0.0,1,1.605054527879414,2.513927373893809,1650.6830413483667
91,0.0,1,1.928792715159922,2.4899672021849337,1558.5382224859832
92,0.0,1,1.8978143026259298,2.4625959903892918,1722.6330928917032
93,0.0,1,1.7185557630700645,2.4515028900294724,1815.0024315935982
94,0.0,1,0.9372068132921665,2.4500364698788992,1822.8896921112273
95,0.0,1,0.4351093475403078,2.4523637889216965,1765.6242895810208
96,0.0,1,0.3224951336188618,2.4564177273167718,1524.8508744446242
97,0.0,1,-0.37712445059819966,2.4105538239272537,1392.5749696397613
98,0.0,1,-1.5738569752937592,2.323923435826006,1531.425335935285
99,0.0,1,-1.3911519373926817,2.300466946648653,1542.570931691796
100,0.0,1,-1.865293225691245,2.283172891560888,1306.374884159206
101,0.0,1,-2.7936536196220807,2.2544509692448833,1604.6029378856367
102,0.0,1,-2.7873537783003433,2.2606437002978867,1684.3440915562348
103,0.0,1,-3.083657791761251,2.2609433427679795,1551.8877349968018
104,0.0,1,-2.4522416981420188,2.213394969856457,1796.7985827499153
105,0.0,1,-1.1847802255903193,2.2119227924270937,1919.1515411858745
106,0.0,1,-0.7563849854518944,2.214307855382244,1521.9342479496813
107,0.0,1,-3.3812041726640567,2.1482002796905673,1425.1097779319268
108,0.0,1,-2.751492893534161,2.1669877729224147,2018.1933085539654
109,0.0,1,-2.7931517345646637,2.1857058366303432,2172.338067429904
110,0.0,1,0.12367285015288948,2.1352908223676828,2178.5963290471154
111,0.0,1,0.16303940222646865,2.1275044369943106,2782.35485685414
112,0.0,1,0.11438466536604683,2.11723733097326,3007.7581981034587
113,0.0,1,0.08244943605654428,2.105167444948362,2880.298268308971
114,0.0,1,0.5541992294337893,2.101005145398508,2377.1517313001755
115,0.0,1,0.7331766869874515,2.1080955181960777,1743.2825468762228
