frame,delta_phi_rad
1,-0.634591976941233
2,-0.32960845151312
3,-0.220899170163353
4,-0.343297973756036
5,-0.533758350217331
6,-0.20636518701946
7,-0.298725611317394
8,-0.213102530883048
9,-0.475855561740856
10,-0.184500271938396
11,-0.32186950891125
12,-0.272802763632752
13,-0.272590141957604
14,-0.14021337218006
15,-0.0584830976924402
16,-0.312928579953614
17,-0.141574235541819
18,-0.619252128028082
19,-0.455260722349477
20,-0.667454907331188
21,-0.317407535745319
22,-0.32582178391007
23,-0.473702253297358
24,-0.504591183044587
25,-0.298874870790979
26,-0.451655623701982
27,-0.336648687070598
28,-0.39912210261815
29,-0.359962733201564
30,-0.038073712033156
31,-0.0496053237501217
32,-0.422725358910278
33,-0.471958608397943
34,-0.223533626709171
35,-0.528343760265838
36,-0.505507749081703
37,-0.453657939371705
38,-0.46323210322401
39,-0.474427524098547
40,-0.15493908205926
41,-0.178054790739351
42,-0.47902035878589
43,-0.42018970674904
44,-0.464578727168197
45,-0.453697400167605
46,-0.351269908933683
47,-0.336808477906613
48,-0.311085148793761
49,-0.141221950465138
50,-0.244355250822138
51,-0.260752078728566
52,-0.298770401853681
53,-0.0389711313660741
54,-0.319205807474299
55,-0.253950416251373
56,-0.525520766371789
57,0.00136755477414208
58,-0.376234490119782
59,-0.361148090148456
60,-0.339432478373168
61,-0.314413141806098
62,-0.130314094709676
63,-0.224596006918984
64,-0.584465808021733
65,-0.427381549741341
66,-0.291881093476487
67,-0.49710183083937
68,-0.2765680957224
69,-0.101352373491119
70,-0.44223275949742
71,-0.250402499125097
72,-0.381423220253645
73,-0.38892138436281
74,-0.595524472512094
75,-0.477212472058607
76,-0.437923943195704
77,-0.330448765533492
78,-0.53044520321013
79,-0.309949031333527
80,-0.299658634626532
81,-0.791699725489435
82,-0.391241287069227
83,-0.310563633595897
84,-0.40831747626563
85,-0.393053847579856
86,-0.400505162238304
87,-0.254267665999808
88,-0.195193890165027
89,-0.520363529374547
90,-0.404946493182924
91,-0.284360117388075
92,-0.448796834865852
93,-0.309540720990369
94,-0.230927904512916
95,-0.338485440436683
96,-0.330780765975043
97,-0.205613318509175
98,-0.517711418663109
99,-0.482580869855267
100,-0.0466843838568636
101,-0.438413427490764
102,-0.295364618761969
103,-0.414458727055743
104,-0.287997561563446
105,-0.45279924804078
106,-0.335655063868922
107,-0.200361833848552
108,-0.145961542844494
109,-0.327807292280587
110,-0.272826670864638
111,-0.4609019060255
112,-0.0994127500444537
113,-0.0795964080902207
114,-0.260071620728496
115,-0.385241613045617
116,-0.296686960825067
117,-0.29719791272805
118,-0.390691015716104
119,-0.242283438371853
120,-0.315123571912339
121,-0.464960638738146
122,-0.333770935019136
123,-0.196445380034093
124,-0.203172684256358
125,-0.377111923366724
126,-0.392649811912271
127,-0.452888090534345
128,-0.0701105724407904
129,-0.39317171884056
130,-0.151815585602129
131,-0.346161924480276
132,-0.359144174038046
133,-0.301740937101837
134,-0.36577318357
135,-0.205459602550703
136,-0.305164899717152
137,-0.269453483834919
138,-0.432223778633771
139,-0.4659914449172
140,-0.515623476120394
141,-0.396253431929443
142,-0.548387847950576
143,-0.338536153300545
144,-0.648532744585705
145,-0.562383631005309
146,-0.196368695086781
147,-0.461155229783044
148,-0.18343912782797
149,-0.0787096906255
150,-0.239075058883154
151,-0.44828650665433
152,-0.36928529588357
153,-0.327966464962644
154,-0.397556255794679
155,-0.158496423587024
156,-0.481010812309312
157,-0.473286811664984
158,-0.339555302711501
159,-0.308982004747548
160,-0.33069965639135
161,-0.0126718280278384
162,-0.519195767430036
163,-0.49757327750424
164,-0.45471507649107
165,-0.332483499059303
166,-0.580150744944834
167,-0.272874058238521
168,-0.210289946779034
169,-0.481901991356607
170,-0.361755926269324
171,-0.155873649747581
172,-0.290856681888279
173,-0.398421390502805
174,-0.140148317351271
175,-0.39048899780034
176,-0.33096265087498
177,-0.535626242838743
178,-0.390535294632364
179,-0.422726004488451
180,-0.330232413911569
181,-0.176921127399455
182,-0.428576121358482
183,-0.307198474292585
184,-0.490422894869441
185,-0.40332158964055
186,-0.226383904220999
187,-0.23573154410703
188,-0.37792256213329
189,-0.115224003721122
190,-0.315562996648904
191,-0.465199382683508
192,-0.490012899079861
193,-0.4157082154865
194,-0.189514938177163
195,-0.556177049599711
196,-0.0727002691673668
197,-0.365594731231109
198,-0.277409025484121
199,-0.148662823580937
200,-0.194212611548357
201,-0.544822427557847
202,-0.394168262258633
203,-0.342101429890054
204,-0.498023390111753
205,-0.417797767975067
206,-0.40231397386252
207,-0.487702823242076
208,-0.438821673994525
209,-0.213188895360236
210,-0.42392462677265
211,-0.301734193117609
212,-0.65127345683608
213,-0.41967143979283
214,-0.0710623187670383
215,-0.607673443776553
216,-0.215703670476392
217,-0.363725026575964
218,-0.411186772698956
219,-0.194170983459856
220,-0.0610051895635615
221,-0.45437241911636
222,-0.65892162219769
223,-0.404502498855869
224,-0.525776726677807
225,-0.473766258973567
226,-0.347759299185529
227,0.00640687009351626
228,-0.430331389543356
