range_m,DR_raw_mean_dB,DR_raw_std_dB,DR_raw_n,DR_scr_mean_dB,DR_scr_std_dB,DR_scr_n,win_width_m,win_step_m
1.0,7.322322631863861,3.2080957362700997,202,34.38646067414935,2.6530439285692866,202,0.5,0.25
1.25,6.384077112987061,2.3702588850813573,216,33.53731011538258,2.425455101410474,216,0.5,0.25
1.5,5.242575456392258,2.8112130558431097,231,32.320674063108505,2.9299438498933057,231,0.5,0.25
1.75,4.589787513953444,2.5190396147904406,209,31.979690926431314,3.1384615143509795,209,0.5,0.25
2.0,5.661505911714971,2.073173182664647,252,31.43644071260477,3.1063862784997696,252,0.5,0.25
2.25,4.9174884729881,2.452211581309228,142,29.44486789205649,3.4956719119891764,142,0.5,0.25
2.5,4.352266522707672,1.598480252586856,208,25.819187545378075,3.275507100877562,208,0.5,0.25
2.75,3.8892397635442295,1.710231537646803,276,26.010619335302877,3.180801403412927,276,0.5,0.25
3.0,2.468339488060319,1.17409274411783,237,26.356536625929504,2.693065751530222,237,0.5,0.25
3.25,2.410585958315437,1.2679559716548303,218,25.099430131871987,3.3823932758051654,218,0.5,0.25
3.5,1.1078072804620005,1.930571918682759,94,20.719679099254463,3.4375277516200535,94,0.5,0.25
3.75,1.9126541516275497,1.3737075284906377,186,20.833723369247924,3.368331654852667,186,0.5,0.25
4.0,2.790016194697454,1.4292910283824536,256,21.897563687928546,3.0899957997810352,256,0.5,0.25
4.25,3.835321518928263,1.9285770424945745,255,21.594334339074376,3.0244324403630922,255,0.5,0.25
4.5,3.3294106285166456,2.5353125983741074,185,20.289629280557776,3.2882569305737372,185,0.5,0.25
4.75,-0.09316042619094035,1.5610637980170625,72,16.37723218846232,2.1396800024472227,72,0.5,0.25
5.0,1.0820389809399436,1.5099878327953178,86,17.019077960476018,2.7049382911552695,86,0.5,0.25
5.25,1.4978586331285622,1.6082974703018995,53,17.96209963224506,2.7260829215068525,53,0.5,0.25
5.5,0.5612283718123489,1.4943234847869118,13,17.550099973010308,1.0020387863440452,13,0.5,0.25
