complex_small_real,complex_small_imag,complex_large_real,complex_large_imag
-2342.68078325526,1693.14781152333,-128.490633635243,6705.22277725191
-6336.2201594076,-5279.51442758168,1297.63335106937,-3038.44985537737
1818.80732507116,-2589.92497573428,2662.43901227283,3577.85344641314
7458.0565731284,-2367.46433889604,-2453.4776158475,-907.83935546875
2333.4355618921,-2729.68180186069,-258.715096704871,-6246.63995688815
996.431538476123,-1688.60004012475,NaN,NaN
-1349.33629034361,2532.64451968699,NaN,NaN
-1899.99046868919,-2839.42342977811,-4970.34599403394,2824.09934584117
5940.00321580527,-6318.87356951271,-2008.77115360521,-993.009155171966
-3525.71365991457,502.322220389135,-4702.84689601466,-5092.61156261237
-5852.27914269886,-6250.51285169398,1669.86715463492,-687.139860959907
2274.63387713054,-4007.2794771655,4075.98058823529,3049.82448110437
1161.78503915236,1659.53600540067,NaN,NaN
-2031.7674683626,1875.34787290536,-5332.04631983156,-299.636082967122
-6712.86952023336,-5352.28040588539,-1949.62277670838,1478.17808251897
3823.79015712536,3086.70526483368,6137.98267011955,-1682.65713887701
1838.55544889103,-972.373679722581,NaN,NaN
-2171.77268165467,-2125.87455335663,384.343641623473,-5847.69290965282
-5773.10520138099,6762.93092027476,-1900.78289475752,-1813.53753308186
-2958.52640219756,528.321979257669,-6767.43396536927,180.1796875
4232.71482200276,7117.11821045318,-1237.37497384725,-1642.95971481907
523.792021693954,-3088.07038516907,50.4790344238281,-6507.88155115062
-1547.05155181885,2648.58180828156,772.725194250381,-6098.71474825798
-735,-3622,5254.32681532142,-2233.71401096134
-2834.34231360235,-271.783638535032,-2671.40032198256,4398.88896396383
7465.25180453545,-555.539646723499,1949.90167742349,-518.278635065803
-2655.77618990898,1143.39192953607,4387.81583595256,4356.9904648165
785.520449503442,-2924.32740384094,-711.852676391602,6060.79431579433
NaN,NaN,NaN,NaN
-3527.50556661986,985.189057977909,-4113.13988145314,-4640.75280402688
265.242931332949,-7251.43512139693,1042.80021018431,-2916.28947415593
-3295.14837641674,-1066.24787902832,-5472.43375514436,1578.60464473143
5715.44343775819,6868.02958666478,-2399.51953903651,1329.98106466895
3419.62234946636,-126.038825165297,5613.34701639039,1856.68012450678
-3279.18586967734,2380.8800103118,2039.85194038623,4644.62585108141
7367.63304265648,-2417.83668658437,NaN,NaN
2471.77260902095,432.092108121965,-4603.20749992886,1432.65551544104
3503.72813120002,1195.80145752887,501.894813537598,-4135.43997962301
2190.37515770036,2686.94472193946,5424.99043833905,-2383.80301571199
-3419.78000604681,-2141.29336406518,-6539.23373416153,359.060458122161
-60.2023305084746,2554.37983184306,NaN,NaN
56.4112331707016,3763.92873354198,3779.25419582782,-1542.2646955351
1241.18763468955,-2062.59193975525,2247.90039597217,-4119.19664409999
-2556.82728643734,1214.7236104704,5936.91083148889,884.970739209974
