frame,aoa,times,estimated_aoa,range,energy
1,-30,1,-28.805060928029636,4.713967145797516,588.0319398116916
2,-30,1,-28.843256329029824,4.707584576003126,574.9953322233356
3,-30,1,-28.88027565297281,4.7107968804914195,541.8462514780745
4,-30,1,-28.85785017040335,4.730805269929088,428.3802075518315
5,-30,1,-29.550356065579688,4.662207780172357,340.3381475901969
6,-30,1,-30.468408645491067,4.5688576385454605,335.26984671759874
7,-30,1,-29.931252840188648,4.511190788913271,410.4316546939448
8,-30,1,-29.40356317496781,4.498427099971677,501.0602473615073
9,-30,1,-29.704463488762215,4.473698679735952,544.0511707944551
10,-30,1,-29.91068758349861,4.4442933961325854,558.8768269527177
11,-30,1,-30.689539726640284,4.411879373370485,535.9191712215182
12,-30,1,-30.91350774807023,4.393745234422379,489.52884330892346
13,-30,1,-29.89742239320917,4.3250328485356695,423.94696180136566
14,-30,1,-30.252666416348884,4.3141297801419505,515.6386805763535
15,-30,1,-30.43833987936647,4.300782752862141,561.523436259534
16,-30,1,-30.819407042331086,4.276839951539788,537.9572458040051
17,-30,1,-30.933357514416354,4.241882977517321,476.7400948109688
18,-30,1,-30.844493787737242,4.216212371320577,474.41883131297755
19,-30,1,-30.724954238041217,4.189792090419914,459.9518150776974
20,-30,1,-30.723256400410506,4.172989851230121,364.72290096730484
21,-30,1,-29.919591812724352,4.040332182063994,254.27567528592994
22,-30,1,-30.16947759782876,4.016570781738733,344.3193014786615
23,-30,1,-29.928206984166195,4.018999000426978,406.6866523577418
24,-30,1,-29.495083053273955,4.004156129902741,398.80883895550727
25,-30,1,-29.06989185311845,3.9841348325448145,448.86846883095717
26,-30,1,-28.990291825228574,3.9565936403659063,531.2262724979751
27,-30,1,-28.998388153770964,3.944224259394014,598.6883305584659
28,-30,1,-28.954310801157625,3.9400852127342696,508.5827842268468
29,-30,1,-28.445549837199437,3.905940499312846,625.9002859764413
30,-30,1,-28.72544912736883,3.8994222134428544,749.5182188817748
31,-30,1,-28.638231932346304,3.8893256135914585,756.9649154407253
32,-30,1,-28.527523457624003,3.870221183952756,731.003550406739
33,-30,1,-28.828730919566063,3.8575490850565592,700.567560458423
34,-30,1,-28.89447449220964,3.848048705135491,575.0935332267422
35,-30,1,-28.872066617961856,3.869022410310993,453.5436330247537
36,-30,1,-29.034247194855848,3.8636945158820595,365.8029489779079
37,-30,1,-29.667061175617324,3.666913417896078,332.4477004851605
38,-30,1,-30.19851035056768,3.6330626356874074,333.5905836010553
39,-30,1,-30.45866511057157,3.6093443943255026,250.74353228805015
40,-30,1,-29.84335781584591,3.778326669009798,239.42950558705323
41,-30,1,-30.980875847179107,3.4785168764212204,301.9910774830959
42,-30,1,-30.894434702672118,3.4763082719253418,323.0007857342224
43,-30,1,-32.87209205650213,3.4673337477926607,305.9889763118696
44,-30,1,-32.80384725498236,3.4638591251184354,362.5588542447434
45,-30,1,-32.96010902969467,3.4488343667279744,379.8672060885259
46,-30,1,-33.040430718030684,3.417077318481751,348.3115000613108
47,-30,1,-31.063036624859286,3.4041793645931975,366.5183076071765
48,-30,1,-31.366507032979918,3.388715508756978,387.72962339521524
49,-30,1,-31.623714768385533,3.3452333799706993,448.1550754188433
50,-30,1,-32.16670122834795,3.372873109454163,472.3222633286818
51,-30,1,-29.92210156307363,3.3228722145155927,383.1262283012185
52,-30,1,-29.32406015395392,3.305126460075016,582.9526108603231
53,-30,1,-29.331944821719873,3.309796425285149,739.1414629786594
54,-30,1,-29.32414302564552,3.3022692503999767,842.9126832329421
55,-30,1,-29.15024340348453,3.273581855331783,890.3368618495501
56,-30,1,-29.014078626262464,3.248122828627019,924.5025973815577
57,-30,1,-29.059031366336015,3.2175566450328774,840.4283767549748
58,-30,1,-28.599166885767513,3.1440992697600763,966.3683585981968
59,-30,1,-28.657994800628924,3.1417853087450083,1228.5810828023832
60,-30,1,-28.71077437848323,3.132097020189897,1442.395069809993
61,-30,1,-28.761459077657868,3.1183507595301894,1564.6911695799636
62,-30,1,-28.74562182387603,3.0992423463266716,1603.3560200827349
63,-30,1,-28.785775214424515,3.0801985335214432,1637.6085902494956
64,-30,1,-28.83878744185199,3.0635750193057216,1640.9410524743728
65,-30,1,-28.861266394736266,3.0491210797769894,1536.5379002001134
66,-30,1,-28.926105856710574,3.0362861540595487,1357.8425460090652
67,-30,1,-28.978068417725037,3.0374567590798023,1153.2144039838884
68,-30,1,-29.227993060390652,2.9499163991237336,1011.3139686937812
69,-30,1,-29.73389140788598,2.949138969545323,1187.2409505386042
70,-30,1,-30.273736271779487,2.941802659474589,1191.675579211009
71,-30,1,-30.816518670634522,2.929634746519429,1101.3777867151518
72,-30,1,-31.07605514974061,2.9053122161756204,958.0736081118322
73,-30,1,-31.315971111931862,2.8835964661096423,836.8015099689594
