frame,aoa,times,estimated_aoa,range,energy
1,30,1,27.185916594300295,4.701734933132369,278.27349034386236
2,30,1,26.819662168309144,4.659871320997521,248.64769972571534
3,30,1,26.80165995272287,4.5890212274179465,259.64126956699005
4,30,1,27.00502960510181,4.554615845941017,262.3388074107906
8,30,1,25.804393770523795,4.529249412101585,345.73367843156774
9,30,1,26.46164863975434,4.490334242346161,355.6027964403017
10,30,1,27.009979067689674,4.4374114555099196,315.58931310905416
11,30,1,27.030232758050804,4.426993869103003,247.75112949450008
13,30,1,27.15019046918146,4.380864821775747,197.51705406182654
14,30,1,28.103359407522404,4.3367287889787605,230.36986230390724
15,30,1,28.820282906500903,4.3460973446670925,245.42792269664514
16,30,1,28.064864784892542,4.284112144920317,221.69893171556706
17,30,1,27.307848621182643,4.316326323798674,235.4730470855889
18,30,1,26.877231568977102,4.259486646869677,238.54768910286163
19,30,1,26.81738097974727,4.231415631682542,254.5913341223182
20,30,1,26.853439847804367,4.250006883960253,244.30271793479264
21,30,1,25.28756351107317,4.40506915821568,203.64346571622988
22,30,1,28.942400212410107,4.063032312864682,257.61197212150716
23,30,1,29.113024364637322,3.974349988924285,339.28827340140504
24,30,1,28.974730504318003,3.9685810746678896,401.6922654297503
25,30,1,28.78828837922929,3.970053951396264,432.34458396834617
26,30,1,28.337768182142504,3.954384277968112,348.38947349566774
27,30,1,30.30115252095489,3.9659357999680203,378.08141728759387
28,30,1,30.105539399011924,3.963533628828885,423.68925403211387
29,30,1,29.072836395253336,3.974665116626787,478.96861210109023
30,30,1,28.918743129150172,3.9724687078864567,432.4859274479516
31,30,1,29.058802928541883,3.9732225431943333,314.3567559371668
32,30,1,29.428570236717533,3.9699760772846644,260.72984956676055
33,30,1,28.83978878303515,4.009209623165582,303.14602800621986
34,30,1,28.487928052241127,4.013966632911228,288.7207622565355
35,30,1,27.6563235938711,4.006406257521525,250.9274003152611
36,30,1,26.781662823683043,4.0174783101188805,239.50607235769348
37,30,1,26.34432933695386,3.9129400872120095,268.92817704203964
38,30,1,27.226380062316686,3.5795102154640195,314.58797291309884
39,30,1,28.842292212649454,3.5625534063410895,324.2766158803075
40,30,1,28.200772491383148,3.5752644605817894,407.23889395594017
41,30,1,28.268435926616597,3.558812000330675,463.91993717618084
42,30,1,28.024881756181195,3.550807711059753,507.21790472246664
43,30,1,28.12086491614623,3.5498914522893474,561.0604382472563
44,30,1,28.167603208536395,3.538827425582561,584.4811557588079
45,30,1,27.840770614278288,3.5348601657199668,546.6168262337392
46,30,1,27.541582850334812,3.553849631216414,451.22550210672495
47,30,1,28.970755375224222,3.4534374669293117,407.56418811344
48,30,1,29.06120487048741,3.4231010082280497,416.6506136695005
49,30,1,28.8644618542124,3.4200190693390846,425.2037405346284
50,30,1,29.15723030694761,3.374164266530917,515.9474054802366
51,30,1,28.7851508481578,3.3714635586696904,525.6467255705967
52,30,1,28.730872110677122,3.3377534921572343,400.456567165579
53,30,1,30.270971335480205,3.250975674811309,532.811936157224
54,30,1,29.55959421455533,3.2357253913514783,621.447295631948
55,30,1,28.01285602717468,3.2493056866752146,636.3819622263884
56,30,1,27.053401557862383,3.271624991905911,766.9210298197789
57,30,1,26.837592744322045,3.274657210065551,843.2638129340767
58,30,1,26.07043226549468,3.281162054094928,840.6720256160785
61,30,1,29.944366975334713,3.066833512459883,735.4270957809797
62,30,1,28.93610891476967,3.0596273525588047,876.172837611906
63,30,1,28.8546344489448,3.048828974340383,820.0356048867308
64,30,1,28.424583545922896,3.0462960886415975,791.8804796647664
65,30,1,27.85386734415203,3.0592683210017197,744.299636266879
66,30,1,27.212966730703265,3.056351503514325,667.0778965101654
67,30,1,26.801648248927194,3.005457698721114,616.0296064833444
68,30,1,26.444938433756896,2.9271020850220704,675.455542752476
69,30,1,26.865250550761996,2.8843644840319933,653.7585009741794
70,30,1,27.76285832710149,2.826125496533766,781.069234609185
71,30,1,28.68691844415347,2.824715073806094,1010.4084205771898
72,30,1,28.87138340211013,2.8154677844597336,1129.669634758297
73,30,1,28.956380152622675,2.8062905757135956,1265.94314649175
74,30,1,29.024515974849376,2.8047769064102246,1457.0230034143474
75,30,1,29.08420858133527,2.8027049388650807,1478.2157240196511
76,30,1,29.081292684524705,2.810938907045589,1208.072497963657
77,30,1,28.983706426159397,2.726615249803321,1084.2327224030603
78,30,1,28.77609688258772,2.735234345768062,1364.655133242236
79,30,1,28.052731302898092,2.7384197427816885,1423.7172937396842
80,30,1,27.703578466557335,2.725986913224349,1327.984444500024
81,30,1,27.825250159395168,2.7029588145181465,1172.0736276283887
82,30,1,28.060403393864746,2.6703876584781896,1039.7852265688014
83,30,1,28.29545727350525,2.6431671544895377,830.5220022202557
84,30,1,27.760649185591138,2.540456580258993,834.2085497715734
85,30,1,27.945359678496317,2.525037287203309,1094.855790347127
86,30,1,28.00982562589283,2.494132080313489,1257.8527111428791
87,30,1,28.135022945234905,2.4713051134499193,1378.7327965788238
88,30,1,28.196330744232586,2.444566058756519,1490.9840758717687
89,30,1,27.96755762467214,2.4207272879260926,1609.7523920814663
90,30,1,27.551375776267133,2.415177946080516,1671.1203180366733
91,30,1,27.22653505193295,2.4088861446225147,1640.9613984959826
92,30,1,27.11370425015363,2.444535026277893,1270.0803625000076
93,30,1,27.561492869545344,2.30041906708704,1382.8804639285304
94,30,1,27.13750882833549,2.3027475484342097,1564.9522470920108
95,30,1,26.910709833347887,2.3074595322433398,1558.8730319650854
96,30,1,26.10156472846797,2.305500965494389,1423.5111267863426
97,30,1,25.141200821992495,2.282557900805893,1324.2069224195343
98,30,1,25.310220204636448,2.253960668514686,1365.763190571872
99,30,1,26.166498117192504,2.2391521617073225,1239.0702200641879
100,30,1,26.844847400262015,2.2076695754934295,926.9684252556547
103,30,1,30.233911546291676,2.2070315318986897,870.5776785270201
104,30,1,28.774862917327674,2.188054436428861,991.9309841033237
105,30,1,27.88827778793449,2.191290349913133,859.8240141428754
106,30,1,29.131232794022683,2.2633508789257477,731.2806354472116
107,30,1,27.972220164972292,2.2361831264153262,867.0495150158321
108,30,1,27.40283109747095,2.200057993104789,897.5904635365052
109,30,1,26.04334095175267,2.162734886524041,885.2230689102856
1,30,2,28.70414695308823,4.663350778349547,293.4109111663688
2,30,2,28.151629956641276,4.6665972203160315,279.74413302118654
3,30,2,27.0876707217063,4.69267170514725,263.64905058921346
4,30,2,26.907182375095502,4.696597481867001,231.11970997026438
5,30,2,26.462013265475484,4.683437789793409,167.55069684623854
6,30,2,31.166298406471043,4.489167868548978,221.74292491757623
7,30,2,30.16738332572454,4.471994084995896,254.36824338845102
8,30,2,29.117564689436353,4.4325273001042715,272.84555836596803
9,30,2,29.02943337844385,4.415466367125741,295.5257043056725
10,30,2,29.067315214484754,4.389114289959345,299.87292251979557
11,30,2,28.992532883885186,4.356271186851304,315.09367513022863
12,30,2,28.953976717464858,4.344898530896332,292.7227684469478
13,30,2,28.73019969912253,4.349841480302723,259.7952567934133
14,30,2,27.7707282904284,4.280474188059063,267.1745056474024
15,30,2,27.896302204552153,4.270087548957809,265.0510801652878
16,30,2,27.536024857089455,4.243260325611727,236.48640701118865
17,30,2,26.9088554448843,4.212036863897005,202.6501161432983
18,30,2,29.165519790747393,4.261001950511383,226.86705811473942
19,30,2,28.99142984108675,4.259121060126722,199.75876756311945
20,30,2,30.039349363517594,4.249009211626386,153.86086743950784
21,30,2,30.207602237485382,4.103793583072535,186.58287567641773
22,30,2,29.917796659614567,4.067291539834953,221.66886507431062
23,30,2,29.156981773666242,4.046190575054633,275.31066037204954
24,30,2,29.23792709005141,4.026025247379869,327.75718410330796
25,30,2,30.1628969185096,4.023517401202089,269.4113268052767
26,30,2,28.99315511990784,3.962669162993346,299.5022001076686
27,30,2,28.9948261076359,3.958610492058717,352.7637218284629
28,30,2,29.06798868357846,3.947948008985495,348.8218316201199
29,30,2,28.865773160812896,3.9350126429139913,335.9419167459572
30,30,2,30.29188493553482,3.954499179049906,260.3403656408571
31,30,2,30.126709260356634,3.972284464985504,317.0492436474631
32,30,2,30.2908792868248,3.9681559197788028,299.2920222888081
33,30,2,29.813162618204814,3.9787766372484623,306.28090200342325
34,30,2,27.91140338642868,3.9950639769649325,225.19494860122526
35,30,2,26.28502459313138,3.9813982716002805,241.19905938212796
36,30,2,25.902700971039486,3.9773270643582865,248.09932267428832
37,30,2,25.943193591302116,3.9603962409369653,206.2994725467125
38,30,2,27.481066943023464,4.053112257145528,233.12690609820538
39,30,2,26.111080904716474,3.9285201260539484,197.65208712411427
40,30,2,26.803442405286383,3.834987515994944,196.734744798351
41,30,2,26.666003454054646,3.732308703944577,211.64203287544998
42,30,2,27.603083668856122,3.8209495374410434,230.74448011750428
43,30,2,26.965149757709902,3.8457557659619623,230.5550476620986
44,30,2,26.858972115911236,3.9264345551442537,182.527623278011
45,30,2,26.764243496882493,3.963704550852805,188.34866597082845
46,30,2,28.8472253114213,3.554823064366882,207.4373321046324
47,30,2,29.542509070962918,3.5415440544255854,237.06909842886103
50,30,2,29.462727472308753,3.3873096394915967,261.7590141809669
51,30,2,28.79433105773747,3.379432129322631,306.64565899780297
52,30,2,28.786234743956612,3.3267674798267928,339.97172174260794
53,30,2,28.904805906876028,3.302793772732266,415.2140287206391
54,30,2,28.02190428629521,3.2993330525151245,457.7220788429388
55,30,2,28.760911422707263,3.286411994410688,508.4713528662495
56,30,2,28.844181666746756,3.295050697495039,490.8090575168601
57,30,2,29.026686318944108,3.203683423671887,425.43795261674126
58,30,2,28.909253580277223,3.1911163192391783,687.4613682309146
59,30,2,28.92476210081201,3.179897890423635,809.2454671382387
60,30,2,28.957516395402017,3.1605008884374652,833.1804534473309
61,30,2,28.484708853932414,3.1380235430059784,830.4930001534042
62,30,2,27.718939652018186,3.1176806758668003,883.9495449865259
63,30,2,27.016077551833288,3.101163173773131,919.755420683638
64,30,2,26.795889756173587,3.103835253932406,881.9307511978528
67,30,2,27.120909432836637,2.9690202103029097,712.3635489123061
68,30,2,27.51051292967143,2.9642109460925017,818.7826827592303
69,30,2,27.13560148767903,2.95663436923012,921.336828905583
70,30,2,27.974714929906057,2.924927879917009,838.9284854297229
71,30,2,28.426255307580995,2.921263469568588,659.2721416044826
72,30,2,28.496588657199602,2.870202434218308,639.4853812121435
73,30,2,28.236227607203105,2.8494759771745914,845.8863584206913
74,30,2,27.86532553359408,2.839161553852165,981.3656481348198
75,30,2,27.634704652951097,2.8166454246427195,863.0094951879058
76,30,2,27.714555358205764,2.802617048718291,740.4246073809859
77,30,2,26.7651259534729,2.8057846355421563,795.6305430025104
78,30,2,26.761581726985277,2.788234340415649,860.4357654322723
79,30,2,26.206119571994055,2.7782052057327427,832.9631728863429
80,30,2,26.198562790611852,2.782945331005296,766.4471217959916
81,30,2,27.538401117658722,2.7565887340158737,649.1000363190553
82,30,2,29.021718402881792,2.728499405878158,719.8078984991758
83,30,2,28.641140317999653,2.729517120875185,814.9067753778776
84,30,2,28.682107440361964,2.7358679081294355,738.119089427083
85,30,2,28.59684113229034,2.6446257297408917,719.1735904567009
86,30,2,28.56359173888786,2.5927600697277744,770.7427682072827
87,30,2,29.038019179028257,2.571206268877229,748.0806211982857
88,30,2,29.34656243022188,2.560020692003678,635.9190517420674
89,30,2,27.765018744918223,2.759705004736967,416.02937412488234
90,30,2,28.697461260381797,2.477391938639185,739.6180792343698
91,30,2,29.454184849558356,2.463206301149447,907.7463078772726
92,30,2,29.906086085644993,2.4226584106444005,905.2817693564671
93,30,2,29.31537678573676,2.3985245926113743,923.5439951277858
94,30,2,28.862208314455213,2.3791256296192342,941.7734921165019
95,30,2,28.3579223108942,2.358077460146467,1051.202439783827
96,30,2,28.589718474770198,2.342755985620163,1195.5054267166076
97,30,2,28.811853068332987,2.322691267503206,1201.6151976540484
98,30,2,28.022158279495155,2.3108381334503925,1218.666899252733
99,30,2,28.041217256101543,2.3012817070776372,1119.1760898304901
100,30,2,28.97402609858308,2.2335226778396495,967.9324928840524
101,30,2,28.94661630826965,2.2303592662065763,1259.8545611445024
102,30,2,28.846609257336098,2.2244663472480024,1402.1092308532782
103,30,2,28.91695848801841,2.2117709647398383,1403.7095829080095
104,30,2,29.02643114307438,2.2056761652892867,1286.3996895528032
105,30,2,28.966086143851257,2.210067231672344,1033.6860639708702
106,30,2,28.20616024925274,2.193672189709372,956.9214198935528
107,30,2,27.16212116145426,2.181878080213301,1109.6397563811563
108,30,2,27.11537431925579,2.1568300421202444,1073.629195141371
109,30,2,27.00268069090999,2.131204664044078,691.5928161669696
110,30,2,27.38955284285381,2.1283469262469725,970.0963924418555
111,30,2,28.241660524310472,2.1322170031514034,1049.1871163823819
112,30,2,29.206441988031646,2.136482944586031,1116.7353682980267
113,30,2,28.973854425305476,2.132628129573136,1398.3273541815295
114,30,2,28.021417572545992,2.121842040257844,1504.4394936858791
1,30,3,27.9606694397684,4.6576250579219645,212.1763589277902
2,30,3,28.85291707201763,4.648248638594196,285.03203750315043
3,30,3,28.293689967279043,4.632114932896187,315.30425823386355
4,30,3,28.047664802099167,4.618964018807537,374.01174232194535
5,30,3,28.088066460948355,4.605273171657896,415.680648605546
6,30,3,27.974583394696026,4.583545973823122,441.23702208174296
7,30,3,27.990790616453733,4.5669389828828395,462.17424230813083
8,30,3,28.068803580704344,4.562052426894887,444.37453415403775
9,30,3,28.302827519572663,4.551126975480207,352.07786488706085
10,30,3,27.446442334237396,4.4946675016099205,322.96214937526986
11,30,3,28.20050332820315,4.5199825792570385,300.96530649183444
12,30,3,27.850439110985114,4.5265250791920195,280.6730861607075
13,30,3,26.967212010024515,4.534356171267499,263.4574127775411
14,30,3,26.826743515583782,4.473226469119898,259.36260629827785
15,30,3,27.44109598138217,4.416980583160515,291.9936443797698
16,30,3,27.801518231878948,4.400901741231967,307.4609581644489
17,30,3,27.763289432947936,4.3843063147069055,280.01506365203545
18,30,3,27.638108628514658,4.367360546657932,231.53174774554913
19,30,3,27.345975629285256,4.439638246739503,193.40876061889892
20,30,3,27.15112580512717,4.511019032553933,177.29146005709924
21,30,3,29.42133763990724,4.313764666479546,173.68142316735415
22,30,3,29.796018106119256,4.203868760646727,222.02288951503948
23,30,3,27.916854507562455,4.181920210847283,253.60949930915461
24,30,3,27.998449400034065,4.1263271983975525,339.1536992987147
25,30,3,28.22942773001551,4.117291987526112,364.53980401321
26,30,3,28.679695256415524,4.100574044942606,392.43542988029066
27,30,3,28.90119599360915,4.075585127697827,449.39644168019726
28,30,3,28.927845028529703,4.058530988105001,466.36973990319495
29,30,3,28.83553655578478,4.049986093869017,481.9523689961297
30,30,3,28.865613619595987,4.033143164841185,436.4348237528706
31,30,3,29.150077265874945,3.999393962089611,388.81876321793504
32,30,3,29.054785444147523,3.9772489535377815,429.16797188001937
33,30,3,29.10152123347207,3.9637802085525946,472.9292298413714
34,30,3,29.054563919200483,3.9348599869764924,425.11474680366
