aoa,times,frame
-10,1,1
-10,1,2
-10,1,3
-10,1,4
-10,1,5
-10,1,6
-10,1,7
-10,1,8
-10,1,9
-10,1,10
-10,1,11
-10,1,12
-10,1,13
-10,1,14
-10,1,15
-10,1,16
-10,1,17
-10,1,18
-10,1,19
-10,1,20
-10,1,21
-10,1,22
-10,1,23
-10,1,24
-10,1,25
-10,1,26
-10,1,27
-10,1,28
-10,1,29
-10,1,30
-10,1,31
-10,1,32
-10,1,33
-10,1,34
-10,1,35
-10,1,36
-10,1,37
-10,1,38
-10,1,39
-10,1,40
-10,1,41
-10,1,42
-10,1,43
-10,1,44
-10,1,45
-10,1,46
-10,1,47
-10,1,48
-10,1,49
-10,1,50
-10,1,51
-10,1,52
-10,1,53
-10,1,54
-10,1,55
-10,1,56
-10,1,57
-10,1,58
-10,1,59
-10,1,60
-10,1,61
-10,1,62
-10,1,63
-10,1,64
-10,1,65
-10,1,66
-10,1,67
-10,1,68
-10,1,69
-10,1,70
-10,1,71
-10,1,72
-10,1,73
-10,1,74
-10,1,75
-10,1,76
-10,1,77
-10,1,78
-10,1,79
-10,1,80
-10,1,81
-10,1,82
-10,1,83
-10,1,84
-10,1,85
-10,1,86
-10,1,87
-10,1,88
-10,1,89
-10,1,90
-10,1,91
-10,1,92
-10,1,93
-10,1,94
-10,1,95
-10,1,96
-10,1,97
-10,1,98
-10,1,99
-10,1,100
-10,1,101
-10,1,102
-10,1,103
-10,1,104
-10,1,105
-10,1,106
-10,1,107
-10,1,108
-10,1,109
-10,1,110
-10,1,111
-10,1,112
-10,1,113
-10,1,114
-10,1,115
-10,1,116
-10,1,117
-10,1,118
-10,1,119
-10,1,120
-10,1,121
-10,1,122
-10,1,123
-10,1,124
-10,1,125
-10,1,126
-10,1,127
-10,1,128
-10,1,129
-10,1,130
-10,1,131
-10,1,132
-10,1,133
-10,1,134
-10,2,1
-10,2,2
-10,2,3
-10,2,4
-10,2,5
-10,2,6
-10,2,7
-10,2,8
-10,2,9
-10,2,10
-10,2,11
-10,2,12
-10,2,13
-10,2,14
-10,2,15
-10,2,16
-10,2,17
-10,2,18
-10,2,19
-10,2,20
-10,2,21
-10,2,22
-10,2,23
-10,2,24
-10,2,25
-10,2,26
-10,2,27
-10,2,28
-10,2,29
-10,2,30
-10,2,31
-10,2,32
-10,2,33
-10,2,34
-10,2,35
-10,2,36
-10,2,37
-10,2,38
-10,2,39
-10,2,40
-10,2,41
-10,2,42
-10,2,43
-10,2,44
-10,2,45
-10,2,46
-10,2,47
-10,2,48
-10,2,49
-10,2,50
-10,2,51
-10,2,52
-10,2,53
-10,2,54
-10,2,55
-10,2,56
-10,2,57
-10,2,58
-10,2,59
-10,2,60
-10,2,61
-10,2,62
-10,2,63
-10,2,64
-10,2,65
-10,2,66
-10,2,67
-10,2,68
-10,2,69
-10,2,70
-10,2,71
-10,2,72
-10,2,73
-10,2,74
-10,2,75
-10,2,76
-10,2,77
-10,2,78
-10,2,79
-10,2,80
-10,2,81
-10,2,82
-10,2,83
-10,2,84
-10,2,85
-10,2,86
-10,2,87
-10,2,88
-10,2,89
-10,2,90
-10,2,91
-10,2,92
-10,2,93
-10,2,94
-10,2,95
-10,2,96
-10,2,97
-10,2,98
-10,2,99
-10,2,100
-10,2,101
-10,2,102
-10,2,103
-10,2,104
-10,2,105
-10,2,106
-10,2,107
-10,2,108
-10,2,109
-10,2,110
-10,2,111
-10,2,112
-10,2,113
-10,2,114
-10,2,115
-10,2,116
-10,2,117
-10,2,118
-10,2,119
-10,2,120
-10,2,121
-10,2,122
-10,2,123
-10,2,124
-10,2,125
-10,2,126
-10,2,127
-10,2,128
-10,2,129
-10,2,130
-10,2,131
-10,2,132
-10,2,133
-10,2,134
-10,2,135
-10,2,136
-10,2,137
-10,2,138
-10,2,139
-10,2,140
-10,2,141
-10,2,142
-10,2,143
-10,2,144
-10,2,145
-10,2,146
-10,2,147
-10,2,148
-10,2,149
-10,2,150
-10,2,151
-10,2,152
-10,2,153
-10,2,154
-10,2,155
-10,2,156
-10,2,157
-10,2,158
-10,2,159
-10,2,160
-10,2,161
-10,2,162
-10,2,163
-10,2,164
-10,2,165
-10,3,1
-10,3,2
-10,3,3
-10,3,4
-10,3,5
-10,3,6
-10,3,7
-10,3,8
-10,3,9
-10,3,10
-10,3,11
-10,3,12
-10,3,13
-10,3,14
-10,3,15
-10,3,16
-10,3,17
-10,3,18
-10,3,19
-10,3,20
-10,3,21
-10,3,22
-10,3,23
-10,3,24
-10,3,25
-10,3,26
-10,3,27
-10,3,28
-10,3,29
-10,3,30
-10,3,31
-10,3,32
-10,3,33
-10,3,34
-10,3,35
-10,3,36
-10,3,37
-10,3,38
-10,3,39
-10,3,40
-10,3,41
-10,3,42
-10,3,43
-10,3,44
-10,3,45
-10,3,46
-10,3,47
-10,3,48
-10,3,49
-10,3,50
-10,3,51
-10,3,52
-10,3,53
-10,3,54
-10,3,55
-10,3,56
-10,3,57
-10,3,58
-10,3,59
-10,3,60
-10,3,61
-10,3,62
-10,3,63
-10,3,64
-10,3,65
-10,3,66
-10,3,67
-10,3,68
-10,3,69
-10,3,70
-10,3,71
-10,3,72
-10,3,73
-10,3,74
-10,3,75
-10,3,76
-10,3,77
-10,3,78
-10,3,79
-10,3,80
-10,3,81
-10,3,82
-10,3,83
-10,3,84
-10,3,85
-10,3,86
-10,3,87
-10,3,88
-10,3,89
-10,3,90
-10,3,91
-10,3,92
-10,3,93
-10,3,94
-10,3,95
-10,3,96
-10,3,97
-10,3,98
-10,3,99
-10,3,100
-10,3,101
-10,3,102
-10,3,103
-10,3,104
-10,3,105
-10,3,106
-10,3,107
-10,3,108
-10,3,109
-10,3,110
-10,3,111
-10,3,112
-10,3,113
-10,3,114
-10,3,115
-10,3,116
-10,3,117
-10,3,118
-10,3,119
-10,3,120
-10,3,121
-10,3,122
-10,3,123
-10,3,124
-10,3,125
-10,3,126
-10,3,127
-10,3,128
-10,3,129
-10,3,130
-10,3,131
-10,3,132
-10,3,133
-10,3,134
-10,3,135
-10,3,136
-10,3,137
-10,3,138
-10,3,139
-10,3,140
-10,3,141
-10,3,142
-10,3,143
-10,3,144
-10,3,145
-10,3,146
-10,3,147
-10,3,148
-10,3,149
-10,3,150
-10,3,151
-10,3,152
-10,3,153
-10,3,154
-10,3,155
-10,3,156
-10,3,157
-10,3,158
-20,1,1
-20,1,2
-20,1,3
-20,1,4
-20,1,5
-20,1,6
-20,1,7
-20,1,8
-20,1,9
-20,1,10
-20,1,11
-20,1,12
-20,1,13
-20,1,14
-20,1,15
-20,1,16
-20,1,17
-20,1,18
-20,1,19
-20,1,20
-20,1,21
-20,1,22
-20,1,23
-20,1,24
-20,1,25
-20,1,26
-20,1,27
-20,1,28
-20,1,29
-20,1,30
-20,1,31
-20,1,33
-20,1,34
-20,1,38
-20,1,39
-20,1,40
-20,1,41
-20,1,42
-20,1,43
-20,1,44
-20,1,45
-20,1,46
-20,1,47
-20,1,48
-20,1,49
-20,1,50
-20,1,51
-20,1,52
-20,1,53
-20,1,54
-20,1,55
-20,1,56
-20,1,57
-20,1,58
-20,1,59
-20,1,60
-20,1,61
-20,1,62
-20,1,63
-20,1,64
-20,1,65
-20,1,66
-20,1,67
-20,1,68
-20,1,69
-20,1,70
-20,1,71
-20,1,72
-20,1,73
-20,1,74
-20,1,75
-20,1,76
-20,1,77
-20,1,78
-20,1,79
-20,1,80
-20,1,81
-20,1,82
-20,1,83
-20,1,84
-20,1,85
-20,1,86
-20,1,87
-20,1,88
-20,1,89
-20,1,90
-20,1,91
-20,1,94
-20,1,95
-20,1,96
-20,2,1
-20,2,2
-20,2,3
-20,2,4
-20,2,5
-20,2,6
-20,2,7
-20,2,8
-20,2,9
-20,2,10
-20,2,11
-20,2,12
-20,2,13
-20,2,14
-20,2,15
-20,2,16
-20,2,17
-20,2,18
-20,2,19
-20,2,20
-20,2,21
-20,2,22
